MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('key_signature', key='C', time=0)
MetaMessage('set_tempo', tempo=454544, time=0)
MetaMessage('track_name', name='Rondo (alla Turca) from Sonata in A', time=0)
MetaMessage('text', text='Wolfgang Amadeus Mozart', time=0)
program_change channel=0 program=0 time=0
control_change channel=0 control=121 value=0 time=0
control_change channel=0 control=64 value=0 time=0
control_change channel=0 control=10 value=76 time=0
control_change channel=0 control=7 value=126 time=0
note_on channel=0 note=71 velocity=52 time=0
control_change channel=0 control=121 value=0 time=0
control_change channel=0 control=64 value=0 time=0
control_change channel=0 control=10 value=51 time=0
control_change channel=0 control=7 value=110 time=0
MetaMessage('track_name', name='Keyboard', time=0)
note_on channel=0 note=69 velocity=47 time=0.113636
note_off channel=0 note=71 velocity=0 time=0.0017755625
note_on channel=0 note=68 velocity=59 time=0.1118604375
note_off channel=0 note=69 velocity=0 time=0.0017755625
note_on channel=0 note=69 velocity=62 time=0.1118604375
note_off channel=0 note=68 velocity=0 time=0.0017755625
MetaMessage('time_signature', numerator=2, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0.1118604375)
note_on channel=0 note=72 velocity=71 time=0
note_on channel=0 note=57 velocity=41 time=0
note_off channel=0 note=69 velocity=0 time=0.0017755625
note_off channel=0 note=72 velocity=0 time=0.14737168750000001
note_on channel=0 note=60 velocity=48 time=0.07812475
note_on channel=0 note=64 velocity=48 time=0
note_off channel=0 note=57 velocity=0 time=0.003551125
note_off channel=0 note=60 velocity=0 time=0.2112919375
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=74 velocity=59 time=0.0124289375
note_on channel=0 note=60 velocity=47 time=0
note_on channel=0 note=64 velocity=47 time=0
note_on channel=0 note=72 velocity=57 time=0.113636
note_off channel=0 note=74 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=71 velocity=62 time=0.07812475
note_on channel=0 note=60 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_off channel=0 note=72 velocity=0 time=0.0017755625
note_on channel=0 note=72 velocity=64 time=0.1118604375
note_off channel=0 note=71 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=71 time=0.07812475
note_on channel=0 note=57 velocity=40 time=0
note_off channel=0 note=72 velocity=0 time=0.0017755625
note_off channel=0 note=76 velocity=0 time=0.14737168750000001
note_on channel=0 note=60 velocity=46 time=0.07812475
note_on channel=0 note=64 velocity=46 time=0
note_off channel=0 note=57 velocity=0 time=0.003551125
note_off channel=0 note=60 velocity=0 time=0.2112919375
